Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.875,145.4375,94.94641876220703,8164300
2000-01-04,143.53125,144.0625,139.640625,139.75,91.23346710205078,8089800
2000-01-05,139.9375,141.53125,137.25,140.0,91.39669799804688,12177900
2000-01-06,139.625,141.5,137.75,137.75,89.92779541015625,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,95.15047454833984,8066500
2000-01-10,146.25,146.90625,145.03125,146.25,95.47686767578125,5741700
2000-01-11,145.8125,146.09375,143.5,144.5,94.33444213867188,7503700
2000-01-12,144.59375,144.59375,142.875,143.0625,93.39593505859375,6907700
2000-01-13,144.46875,145.75,143.28125,145.0,94.66083526611328,5158300
2000-01-14,146.53125,147.46875,145.96875,146.96875,95.94607543945312,7437300
2000-01-18,145.34375,146.625,145.1875,145.8125,95.19129943847656,6488500
2000-01-19,145.3125,147.0,145.0,147.0,95.96651458740234,6157900
2000-01-20,146.96875,146.96875,143.8125,144.75,94.49762725830078,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,94.29361724853516,6244800
2000-01-24,145.65625,145.84375,139.40625,140.34375,91.62107849121094,7896900
2000-01-25,140.515625,141.9375,139.0,141.9375,92.66151428222656,9942500
2000-01-26,141.0,141.546875,140.09375,140.8125,91.92708587646484,5158100
2000-01-27,141.84375,142.21875,138.125,140.25,91.55986785888672,10922700
2000-01-28,139.4375,140.0625,135.53125,135.875,88.70370483398438,11916200
2000-01-31,135.8125,139.671875,135.0,139.5625,91.11105346679688,10768700
2000-02-01,139.75,141.6875,138.53125,140.9375,92.0086898803711,8419900
2000-02-02,141.28125,142.25,140.375,141.0625,92.09029388427734,6205900
2000-02-03,140.875,143.25,140.0,143.1875,93.4775619506836,7997500
2000-02-04,143.1875,144.0,142.125,142.59375,93.08998107910156,4925400
2000-02-07,142.5625,142.78125,141.4375,142.375,92.94712829589844,5845800
2000-02-08,143.96875,144.5625,143.625,144.3125,94.21195983886719,4936400
2000-02-09,144.46875,144.46875,141.265625,141.28125,92.23310852050781,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,92.41670989990234,6690600
2000-02-11,141.84375,141.9375,138.03125,138.6875,90.53980255126953,9849800
2000-02-14,139.78125,139.78125,138.3125,139.5,91.07025146484375,8528800
2000-02-15,139.25,141.21875,137.796875,141.078125,92.10050201416016,11078300
2000-02-16,140.375,140.9375,138.796875,139.0,90.74385070800781,8845400
2000-02-17,140.4375,140.4375,138.21875,138.28125,90.27462768554688,7584200
2000-02-18,138.875,138.875,134.625,135.3125,88.33650970458984,9409200
2000-02-22,135.1875,136.34375,133.53125,134.96875,88.11209106445312,16415400
