,Fecha,Apple,Amazon,Meta,Tesla,Microsoft
0,2019-01-02,39.47999954223633,76.95649719238281,135.67999267578125,20.67466735839844,101.12000274658205
1,2019-01-03,35.54750061035156,75.01399993896484,131.74000549316406,20.02400016784668,97.4000015258789
2,2019-01-04,37.06499862670898,78.76950073242188,137.9499969482422,21.179332733154297,101.93000030517578
3,2019-01-07,36.98249816894531,81.47550201416016,138.0500030517578,22.33066749572754,102.05999755859376
4,2019-01-08,37.6875,82.8290023803711,142.52999877929688,22.356666564941406,102.8000030517578
5,2019-01-09,38.32749938964844,82.97100067138672,144.22999572753906,22.568666458129883,104.2699966430664
6,2019-01-10,38.45000076293945,82.81099700927734,144.1999969482422,22.99799919128418,103.5999984741211
7,2019-01-11,38.0724983215332,82.02799987792969,143.8000030517578,23.15066719055176,102.8000030517578
8,2019-01-14,37.5,80.8604965209961,145.38999938964844,22.293333053588867,102.0500030517578
9,2019-01-15,38.26750183105469,83.72799682617188,148.9499969482422,22.96199989318848,105.01000213623048
10,2019-01-16,38.73500061035156,84.18900299072266,147.5399932861328,23.06999969482422,105.37999725341795
11,2019-01-17,38.96500015258789,84.66100311279297,148.3000030517578,23.15399932861328,106.12000274658205
12,2019-01-18,39.20500183105469,84.80999755859375,150.0399932861328,20.15066719055176,107.70999908447266
13,2019-01-22,38.32500076293945,81.6084976196289,147.57000732421875,19.92799949645996,105.68000030517578
14,2019-01-23,38.47999954223633,82.0009994506836,144.3000030517578,19.172666549682617,106.70999908447266
15,2019-01-24,38.17499923706055,82.74649810791016,145.8300018310547,19.43400001525879,106.1999969482422
16,2019-01-25,39.43999862670898,83.52850341796875,149.00999450683594,19.80266761779785,107.16999816894533
17,2019-01-28,39.07500076293945,81.89450073242188,147.47000122070312,19.7586669921875,105.08000183105467
18,2019-01-29,38.66999816894531,79.69400024414062,144.19000244140625,19.83066749572754,102.94000244140624
19,2019-01-30,41.3125,83.52149963378906,150.4199981689453,20.584667205810547,106.37999725341795
20,2019-01-31,41.61000061035156,85.9365005493164,166.69000244140625,20.468000411987305,104.43000030517578
21,2019-02-01,41.630001068115234,81.3115005493164,165.7100067138672,20.81399917602539,102.77999877929688
22,2019-02-04,42.8125,81.66549682617188,169.25,20.85933303833008,105.73999786376952
23,2019-02-05,43.54499816894531,82.94049835205078,171.16000366210938,21.42333221435547,107.22000122070312
24,2019-02-06,43.560001373291016,82.01300048828125,170.49000549316406,21.14800071716309,106.02999877929688
25,2019-02-07,42.73500061035156,80.71849822998047,166.3800048828125,20.500667572021484,105.2699966430664
26,2019-02-08,42.602500915527344,79.41100311279297,167.3300018310547,20.386667251586918,105.66999816894533
27,2019-02-11,42.35749816894531,79.55000305175781,165.7899932861328,20.856000900268555,105.25
28,2019-02-12,42.72249984741211,81.90049743652344,165.0399932861328,20.78733253479004,106.88999938964844
